정류장_ID,위도,경도,버스도착정보안내기_설치_여부,구이름,행정동
277103552,127.067091,37.531727,미설치  ,광진구,자양3동
277103551,127.066757,37.531816,미설치  ,광진구,자양4동
277103511,127.059683,37.533713,미설치  ,광진구,자양4동
277103510,127.08828,37.528064,미설치  ,광진구,자양2동
277103509,127.088549,37.528812,미설치  ,광진구,자양2동
277103310,127.099758,37.537517,미설치  ,광진구,구의3동
277103309,127.099511,37.537714,미설치  ,광진구,구의3동
277103308,127.087866,37.52971,미설치  ,광진구,자양2동
277102675,127.107745,37.543896,미설치  ,광진구,광장동
277102674,127.107245,37.544083,미설치  ,광진구,광장동
277102303,127.104251,37.544694,미설치  ,광진구,광장동
277102301,127.090492,37.529313,미설치  ,광진구,자양2동
277101942,127.093084,37.536653,미설치  ,광진구,구의3동
277101910,127.094483,37.540124,미설치  ,광진구,구의3동
277101909,127.093642,37.537661,미설치  ,광진구,구의3동
277101720,127.091878,37.537918,미설치  ,광진구,구의3동
277101638,127.099837,37.537769,미설치  ,광진구,구의3동
274160005,127.107387,37.548734,미설치  ,광진구,광장동
274116390,127.10795,37.544258,미설치  ,광진구,광장동
274116389,127.107619,37.54447,미설치  ,광진구,광장동
274114089,127.089313,37.530813,미설치  ,광진구,자양2동
274000021,127.100367,37.537977,미설치  ,광진구,광장동
274000020,127.100058,37.538206,미설치  ,광진구,광장동
274000019,127.090479,37.529354,미설치  ,광진구,자양2동
274000018,127.088565,37.528817,미설치  ,광진구,자양2동
104900133,127.091538,37.538166,미설치  ,광진구,구의3동
104900132,127.082348,37.561869,미설치  ,광진구,중곡2동
104900129,127.094602,37.536276,미설치  ,광진구,구의3동
104900128,127.078227,37.566996,미설치  ,광진구,중곡3동
104900127,127.094727,37.542369,미설치  ,광진구,광장동
104900126,127.094911,37.542167,미설치  ,광진구,광장동
104900125,127.086244,37.566757,미설치  ,광진구,중곡3동
104900124,127.093963,37.559131,미설치  ,광진구,중곡4동
104900123,127.090136,37.559003,미설치  ,광진구,중곡4동
104900122,127.089935,37.558849,미설치  ,광진구,중곡4동
104900121,127.094281,37.559193,미설치  ,광진구,중곡4동
104900120,127.081814,37.556509,미설치  ,광진구,중곡2동
104900119,127.098019,37.545241,미설치  ,광진구,광장동
104900118,127.096182,37.543261,미설치  ,광진구,광장동
104900116,127.08701,37.53295,미설치  ,광진구,자양2동
104900115,127.082568,37.53152,미설치  ,광진구,자양1동
104900114,127.082256,37.5313,미설치  ,광진구,자양2동
104900113,127.079297,37.532187,미설치  ,광진구,자양1동
104900112,127.079239,37.531986,미설치  ,광진구,자양2동
104900111,127.105432,37.546013,미설치  ,광진구,광장동
104900110,127.106626,37.54792,미설치  ,광진구,광장동
104900109,127.105232,37.546319,미설치  ,광진구,광장동
104900108,127.101749,37.542343,미설치  ,광진구,광장동
104900107,127.089119,37.533715,미설치  ,광진구,자양2동
104900106,127.089136,37.533614,미설치  ,광진구,자양2동
104900105,127.096754,37.538008,미설치  ,광진구,구의3동
104900104,127.094247,37.536627,미설치  ,광진구,구의3동
