,busRouteId1,name,term,type
0,100100018,130,8.0,3.0
1,100100025,146,8.0,3.0
2,100100186,2012,12.0,4.0
3,100100189,2014,11.0,4.0
4,100100522,2016,11.0,4.0
5,100100194,2211,6.0,4.0
6,100100198,2221,13.0,4.0
7,100100199,2222,15.0,4.0
8,100100201,2224,12.0,4.0
9,100100202,2227,11.0,4.0
10,100100599,2311,12.0,4.0
11,100100407,240,11.0,3.0
12,100100209,2412,13.0,4.0
13,100100211,2415,16.0,4.0
14,104000010,2416,16.0,4.0
15,104000006,242,14.0,3.0
16,100100052,302,15.0,3.0
17,100100053,303,8.0,3.0
18,100100564,320,9.0,3.0
19,100100212,3212,13.0,4.0
20,100100213,3214,13.0,4.0
21,100100215,3216,13.0,4.0
22,100100216,3217,9.0,4.0
23,100100218,3220,17.0,4.0
24,100100061,370,4.0,3.0
25,100100234,4212,9.0,4.0
26,100100420,6013,40.0,1.0
27,100100570,6705,20.0,1.0
28,100100112,721,8.0,3.0
29,100100390,9403,13.0,6.0
30,100100591,N30,40.0,3.0
31,123000013,N73,35.0,3.0
32,100100589,N61,20.0,3.0
33,100100588,N62,20.0,3.0
34,100000018,TOUR12,65.0,10.0
35,124900002,강동01,9.0,2.0
36,104900005,광진01,13.0,2.0
37,104900003,광진02,18.0,2.0
38,104900002,광진03,7.0,2.0
39,104900001,광진04,10.0,2.0
40,104900004,광진05,7.0,2.0
41,103900008,성동10,8.0,2.0
