,행정동코드,총생활인구수,10대 생활인구 수,20대 생활인구 수,30대 생활인구 수,40대 생활인구 수,50대 생활인구 수,60대 생활인구 수,65세 이상 생활인구 수,낮시간대 생활인구,퇴근시간 생활인구,21-2,출근시간 생활인구
0,11110515,303120441.0072,33361990.843200002,42709122.136,45127588.78,53802776.1585,44234149.7333,61956583.4532,46014169.5463,117630378.1093,35007617.2873,111042270.4378,39440175.1728
1,11110530,412975952.3162,20203425.159,62619237.231199995,88420959.296,86398796.6494,65092326.378299996,75584864.5036,53142719.1006,199654531.0516,54399598.0697,104047274.1838,54874549.0111
2,11110540,94384192.1644,7280957.2631,17199210.9751,16730348.024,17114407.3624,14421663.9263,18809314.3561,13165348.830400001,44424394.174,10732468.6307,27584341.3086,11642988.0511
3,11110550,259212005.3262,29158470.7856,32622549.345799997,31769808.786399998,43010716.2591,41101438.9391,66905609.19589999,48618744.056099996,84152675.3584,31333268.811,110968671.9231,32757389.2337
4,11110560,323773161.876,33607524.2483,34591757.8982,36085870.9549,50611081.4507,55497174.7469,92267481.59149998,66172555.3038,102235597.0286,38958839.6692,141209987.9376,41368737.2406
5,11110570,119290892.2982,14047580.384,14659762.7677,14186921.134100001,17994653.485,17717461.7978,31599355.362800002,23134827.3186,33968920.2737,13415071.6656,56466035.6465,15440864.7124
6,11110580,125643023.6982,12536201.4397,14973539.9596,18556661.4072,23164938.3947,18708877.7724,26915359.7029,19660486.550300002,42721042.361999996,15706077.6949,50781801.7661,16434101.8752
7,11110600,122036860.9915,12569247.3847,16647783.6329,22267235.086000003,24355036.8143,19044679.964900002,21682184.513,15761453.576499999,55639934.940799996,13521396.3121,35764786.4566,17110743.282
8,11110615,1011957929.1958,30487687.2659,189671373.3248,206466984.30799997,203434724.3495,167565721.5009,195696690.57669997,133458726.3654,563320676.5185,138455936.3376,186741100.7248,123440215.6149
9,11110630,291673127.7449,11490057.135400001,45721492.285,47442153.8759,49012880.5075,57349575.8214,77230583.8847,52970550.054,147368470.161,34753606.7088,71523410.0233,38027640.8518
10,11110640,405162502.172,21856552.375699997,89763846.83129999,81078954.806,66652578.5184,58993359.589499995,75995907.7798,55198876.9394,186909614.1918,50665924.5465,114841143.8652,52745819.5685
11,11110650,516668503.2563,64926954.7058,162750333.66750002,63495022.3111,65711782.5257,59033320.0165,79955544.8757,59029442.3089,183013995.6922,70089331.1192,202100385.9501,61464790.4948
12,11110670,152758542.2858,5426064.5482,20738196.7276,23934000.841700003,25619953.6865,31160389.2878,43359277.71790001,29866239.668800004,57579835.2221,17725914.0773,58547573.5964,18905219.39
13,11110680,168311049.7057,10442653.991999999,24576114.7531,20926662.9692,22141956.1499,36705036.3073,48484868.7786,33890582.116,50485789.2595,19985860.3223,76892038.692,20947361.4319
14,11110690,85182149.8084,8348160.5012,10450006.677900001,12542834.444899999,13622173.5041,13920502.030499998,20219171.1765,14440165.406200001,22621428.5148,9376942.2531,41938287.7956,11245491.2449
15,11110700,139090914.9712,7614515.777299999,19056654.037,21425061.7639,22037646.5306,25949948.9481,36297569.924899995,26157223.1265,47887916.5969,18413882.4085,56112413.692499995,16676702.2733
16,11110710,227143977.9347,9935159.8848,40538129.6227,37670982.4881,35558812.3347,39941033.7014,57271895.803100005,40380592.2336,81595032.7071,25026086.4247,92067697.7873,28455161.0156
17,11140520,465435733.175,16888129.5659,74085222.91510001,116732059.4047,112143564.95809999,75530823.39829999,53862970.125300005,32471938.222500004,278843798.0124,50604585.9958,66267794.1708,69719554.996
18,11140540,421922741.6346,9537326.9621,60697564.2438,95453757.8663,93727993.014,72626742.54519999,83469002.6044,55946657.9476,251453438.622,46528767.6508,67146225.917,56794309.4448
19,11140550,568712419.6946,15657226.124400001,111394211.2907,149045120.82999998,131771490.0816,84001490.3431,66953128.7138,42636257.8098,336402340.6032,69965725.2824,82157594.5884,80186759.2206
20,11140570,203457112.7187,13948607.2873,47552924.5387,36132385.599700004,35101185.4261,31691066.4632,33484267.2425,22555534.904200003,98427040.4645,24603120.5964,54507086.098799996,25919865.559
21,11140580,195666395.0445,9353195.706799999,47025942.650000006,39098442.0747,34817078.433,28804994.8185,32802446.988,22063739.3297,86473002.4341,23867292.5685,59302332.5857,26023767.4562
22,11140590,382180393.3094,14624855.9531,76419993.4057,83217204.7855,73434053.5789,61407404.2868,66806015.6313,43446380.636700004,178180444.1689,49026772.3733,107802545.8541,47170630.9131
23,11140605,298732015.6153,5468031.6442,45878332.3953,58161770.3723,61582681.4083,59567506.872700006,64933716.782000005,42379341.3208,165017524.2897,36747091.9161,55585344.1159,41382055.2936
24,11140615,399608862.139,13232554.881000001,69098348.08309999,92310243.9472,76912471.70639999,64664110.593,76331241.1373,50812523.4632,139425688.9252,47328305.0628,163438690.0143,49416178.1367
25,11140625,258476412.1257,17020390.6244,40500619.0647,46632204.1019,41561023.5965,37640827.283,60954681.3283,44879139.620799996,88003954.1312,32424250.601,105094332.6818,32953874.7117
26,11140635,264232189.9616,14896519.4242,30462777.084200002,44393317.5714,42711185.3431,38782011.186400004,74888354.8827,55689691.8398,80315496.6558,33789524.7582,117784795.4935,32342373.0541
27,11140645,209344711.868,16860780.5092,26074805.8328,35265124.693399996,31314885.0768,31827283.1708,51916138.8749,38312036.8708,59396649.7021,23715559.8579,99959661.0239,26272841.2841
28,11140650,176734717.1817,10731812.163800001,26533619.300499998,30096785.544299997,28645764.7963,30485233.492000002,40505403.4743,28169608.528399996,58991558.0426,24260182.624,72095590.9312,21387385.5839
29,11140665,167650655.2948,12070869.7458,21516768.9793,26967907.6544,26633760.0457,28694816.526100002,42313532.5142,29939433.5085,54271103.6584,20890519.6296,71661114.6733,20827917.3335
30,11140670,229339698.6099,9521153.4376,36258509.2491,49633330.4242,36646152.894999996,32969263.6022,49927201.446899995,35673431.1269,76789257.8298,27666219.677,96194680.1591,28689540.944
31,11140680,159414734.6957,7302029.7566,21082855.0051,34046984.8449,32801972.3777,25875966.2414,30434797.2897,21520223.2399,64388071.7581,18826609.5589,55340761.159099996,20859292.2196
32,11170510,243368737.3337,17577338.710199997,33318107.1473,45719660.982700005,41921746.8476,36239736.480100006,54866421.2829,38589602.4216,73645180.8429,27902862.71,110970632.1126,30850061.6682
33,11170520,213022548.2292,14491627.528900001,38016371.255,46076510.5778,35057354.7405,25386599.3922,45145816.1952,32681025.9597,69459623.6094,27673483.692,89121586.6593,26767854.2685
34,11170530,268593629.1953,12106938.5587,51357903.9929,55168178.987500004,49405272.5099,42521780.111099996,51714895.06649999,34853581.5844,120599004.3571,35784938.3705,74178643.8738,38031042.5939
35,11170555,392042124.1304,35908439.0712,88973307.9192,71089968.4659,57050735.0688,52849175.2795,70748246.8252,50932608.5172,133482522.2621,47747203.3401,160685493.2775,50126905.2507
36,11170560,371182804.2612,19931399.3147,58731612.4062,88867352.3606,68263724.5535,51062880.7257,59623048.1135,40685062.9463,130374436.7797,45131677.9737,147294433.6614,48382255.8464
37,11170570,260229776.2442,23777427.6321,31808112.5513,44539631.0823,44133817.650199994,40100417.039299995,59368864.2667,43297598.601500005,80899158.7175,28426098.3199,117118504.5443,33786014.6625
38,11170580,176225312.5407,15364579.332400002,25649414.3607,31148454.7778,27843618.2082,25211904.6884,38702220.5715,28214344.2338,56168821.4921,22831009.5813,75068135.4434,22157346.0239
39,11170590,152478179.3624,11415631.2416,19726418.376000002,27475379.0119,24371020.1983,22884800.8508,36250166.3361,26299358.7158,40832691.8669,17221136.219,75773542.22,18650809.0565
40,11170625,820133805.3488,40237947.572799996,158352733.1631,196671458.24519998,156907694.8269,112927883.1052,121507607.7078,83016553.4409,358668707.3337,111780372.2435,247274807.5622,102409918.2094
41,11170630,469247565.4108,43629643.9693,43889126.5386,66951700.548499994,89404823.6252,75387717.4565,109130655.26339999,78234051.6556,151028615.225,59173910.7314,197702800.9512,61342238.5032
